numero_dictamen,anio,fecha,tipo_dictamen,organo_origen,materia_principal,materia_secundaria,cluster_tematico,etapa_afectada,normas_principales,normas_secundarias,organos_involucrados,tipo_incidencia,efecto_practico,riesgo_si_se_omite,relevancia,estado_interpretativo,fuente_oficial_url,fuentes_secundarias,cadena_relacionados,observaciones,fecha_ultima_verificacion,origen_harvesting
29101,2006,2006-06-21,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Campamentos provisorios con contenedores habitacionales constituyen 'recintos habitables' según OGUC y requieren permiso de edificación y derechos municipales,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/72388F5771978029842571BD004F03DF,,,,2026-06-02,
9972,2018,2018-04-17,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",No se ajustó a derecho el permiso de edificación otorgado por DOM de Las Condes sin requerir informe de revisor independiente de obras de construcción,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/29B9FA2648FF561E0325827400542231,,,,2026-06-02,
E61450,2020,2020-12-18,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Funcionario SEREMI Vivienda no puede ejercer privadamente ante la DOM: actividades de patrocinio de solicitudes ante DOM son contrarias a derecho (probidad),LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/39DB64A5C539B9D58425864500508E8B,,,,2026-06-02,
2797,2009,2009-01-20,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Irregularidades en complejo turístico Termas del Flaco: construcciones sin permisos de edificación y deber de fiscalización municipal,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/91E10569FE25A9E1842575460069FD7C,,,,2026-06-02,
31573,2000,2000-08-18,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Las municipalidades pueden otorgar permisos de edificación antes de que la CONAMA/COREMA dicte la RCA — criterio histórico,matizan dictámenes posteriores,LEY-19300,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/EF425A08CFEEE9B0842571BD004F8B55,,,,2026-06-02,
25690,2019,2019-09-27,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Objeta DDU 407 (circular 244/2018) sobre fusión de predios con permisos de edificación vigentes — vigencia retroactiva y Art. 3.1.3 OGUC,OGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/3DB7C9E015AC91B884258486006FCBFB,,,,2026-06-02,
40981,2015,2015-05-22,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Cumplimiento del dictamen 95.979/2014 sobre vigencia del permiso de edificación — facultades de la Administración para declarar caducidad,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/E1677BD2A0DD391403257E510050E6E8,,,,2026-06-02,
42084,2017,2017-12-01,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",No procede aplicar el DL 2.695/1979 en la situación de los inmuebles de que se trata — regularización de pequeña propiedad raíz y Art. 55 LGUC,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/1D846B56EE7933D7032581ED004C0BAC,,,,2026-06-02,
4771,1999,1999-02-09,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Funcionarios de desarrollo urbano e infraestructura de SEREMI MINVU no pueden quedar liberados del principio de probidad — primer dictamen fundacional,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/5BB62B15D37A803D842571BD0049D797,,,,2026-06-02,
28417,1999,1999-08-05,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Arquitecto SEREMI MINVU no puede ser socio de empresa que ejecuta proyectos de construcción — incompatibilidad con el principio de probidad,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/CC7D2BFC74D00E72842571BD004EE03D,,,,2026-06-02,
50952,2015,2015-06-25,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Es incompatible con el cargo el ejercicio privado de la profesión en materias que deba analizar,informar o resolver el funcionario o su organismo,LGUC,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/E3E3554147CE05E303257E740053FD97,,,,2026-06-02,
E111407,2025,2025-07-03,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",DOM debe pronunciarse en el plazo de 30 días del Art. 1.4.10 OGUC — juridicidad de ordenanza municipal sobre requisitos y plazos para proyectos,OGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/8A3A4DD10011978784258CC3004DF905,,,,2026-06-02,
4490,2016,2016-01-18,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Al otorgar permisos la DOM revisa solo normas urbanísticas (Art. 116 LGUC) — juridicidad DDU N° 644 (circular 278/2014),LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/4FC5C944A165132A03257F41006A564E,,,,2026-06-02,
E10529,2025,2025-01-21,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Falta de accesibilidad universal no habilita a la DOM para rechazar permisos o recepciones — debe denunciar ante JPL,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/931CCE99A1EB4F3984258C1B004EAEA3,,,,2026-06-02,
36050,2008,2008-08-01,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",CGR devuelve resolución SII por planos que infringen la OGUC en licitación pública — control de legalidad urbanística en contratos públicos,OGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/464660A0CDA931AC8425749E0056039E,,,,2026-06-02,
E533509,2024,2024-08-29,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Bienes Nacionales y certificación de garantías de urbanización al transferir terrenos fiscales singularizados (DL 1.939 + LGUC),LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/5DE522403B546FD784258B8900564A39,,,,2026-06-02,
90359,2016,2016-12-16,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Rechazo de regularización por incumplimiento de norma del plan regulador comunal — coherencia normativa entre IPT y permisos,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/F57D581D16B80A70032580910068103F,,,,2026-06-02,
47417,2008,2008-10-10,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Planes reguladores no pueden prohibir usos de suelo de forma genérica sin seguir la lógica de zonas y subzonas de la OGUC Art. 2.1.10,OGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/A81CA72CBEACE50D842574E30055D24A,,,,2026-06-02,
31416,2009,2009-06-16,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Plan regulador comunal de Loncoche: prohibiciones genéricas de usos de suelo son contrarias a la OGUC — deben tipificarse por zona,OGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/6171DB900818071F842575D90059C999,,,,2026-06-02,
9102,2017,2017-03-16,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",SEREMI Metropolitana no se ajustó a derecho al certificar subdivisiones prediales en área rural fuera del marco del Art. 55 LGUC,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/1DAA08E3D1F39F69032580EA004AAD6D,,,,2026-06-02,
35681,2009,2009-07-06,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Para construir en Área Restringida o Excluida al Desarrollo Urbano la inscripción del lote debe ser anterior al instrumento de planificación que establece la restricción,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/F5D28930754D59A3842575EE0047D480,,,,2026-06-02,
E148827,2021,2021-10-20,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Interpretación de SEREMI Metropolitana sobre áreas de preservación ecológica y Art. 55 LGUC — previo al debate del dictamen E281581/2022,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/560B43743433528A84258776005138A2,,,,2026-06-02,
E472530,2024,2024-04-09,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Aclara dictamen 42.084/2017: aplicación del DL 2.695/1979 (regularización pequeña propiedad raíz) y su relación con Art. 55 LGUC,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/28064EB17DD18E4484258AFC0072226F,,,,2026-06-02,
42064,2010,2010-07-28,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Sanción aplicada en virtud del Art. 64 Ley 19.300 a Central Hidroeléctrica Guayacán — potestad fiscalizadora y sancionadora en el SEIA,LEY-19300,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/D3379F2E5A253F5084257770005907FB,,,,2026-06-02,
1248,2018,2018-01-15,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Zona de protección por cauces naturales y valor paisajístico en el Plan Regulador Intercomunal de Valparaíso — restricciones urbanísticas,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/3926CF1C2346AEFD032582190054A1E8,,,,2026-06-02,
12758,2018,2018-05-23,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Procedimiento de recepción de obra hidráulica de central hidroeléctrica — demoras DGA y aspectos jurídicos de la recepción sectorial,LEY-19300,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/38DB95D52BCC2A7684258298005930CE,,,,2026-06-02,
E160316,2021,2021-11-29,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Corporaciones municipales sujetas a leyes de probidad y transparencia — relevante para proyectos ejecutados vía corporaciones municipales,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/E1E48F8FEBC7EFAE8425879C0079861D,,,,2026-06-02,
17942,2008,2008-04-18,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Observaciones a PRC de Temuco: materias complejas y recurrentes en usos de suelo y actividades productivas (LGUC/OGUC),LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/52134346539D7CDE84257434006C1B99,,,,2026-06-02,
24978,2008,2008-05-30,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Devolución resolución GR Coquimbo que actualiza PRC de Illapel — criterios unificados para toma de razón de planes comunales,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/B0DEEC8D55D969618425745E00523A72,,,,2026-06-02,
26523,2008,2008-06-09,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Devolución decreto que modifica PRC de Tocopilla — discordancia entre Ordenanza Local y planos reguladores (zonificación,usos de suelo),LGUC,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/97FB5D866A359C99842574670058F310,,,,2026-06-02,
28001,2008,2008-06-17,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Devolución resolución GR Araucanía que promulga PRC — observaciones a cuadros de usos,alturas y parámetros urbanísticos,LGUC,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/190A46C7D61748918425746D006F0F30,,,,2026-06-02,
31927,2008,2008-07-09,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Devolución resolución GR Arica y Parinacota que promulga PRC — jurisprudencia recurrente sobre errores en instrumentos comunales,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/E39262DF21B7F7728425748600510CDF,,,,2026-06-02,
34419,2008,2008-07-24,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Devolución resolución GR Araucanía que promulga PRC de Tolhuaca — legalidad de disposiciones de planes comunales,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/B578FF8AE7CC63CA84257494005B125F,,,,2026-06-02,
40372,2008,2008-08-27,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Resolución GR que promulga modificación de PRC — observaciones en zonificación y compatibilidad con OGUC,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/624DEB10437F7DC2842574B4005B5006,,,,2026-06-02,
44023,2008,2008-09-17,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Devolución decreto MINVU que modifica PRC de Huechuraba conforme Art. 50 LGUC — ajuste de instrumentos comunales a normativa legal,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/FB14662F0C80E34A842574CD006B7D23,,,,2026-06-02,
1765,2014,2014-01-09,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Atiende oficio Contraloría Regional del Maule sobre aprobación de PRC — criterios actualizados para toma de razón de instrumentos comunales,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/FA442C9B49E1E14684257C6000642956,,,,2026-06-02,
1766,2014,2014-01-09,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Representa decreto que modifica PRC de La Florida (MINVU) — criterios de Contraloría en toma de razón de instrumentos comunales,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/09901213E9BBAF3784257C6000649B79,,,,2026-06-02,
11429,2014,2014-02-13,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Oficio Contraloría Regional del Maule sobre aprobación de PRC — observaciones complejas a ordenanzas y planos reguladores comunales,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/17A07D1751E5776A84257C82006DED55,,,,2026-06-02,
14462,2014,2014-02-25,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Oficio Contraloría Regional de Los Ríos sobre resolución que aprueba PRC — usos de suelo,definiciones reglamentarias y competencias municipales,LGUC,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/4F573070B3C8E54284257C8C0077C3EA,,,,2026-06-02,
54958,2009,2009-10-06,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Modificación PRC de La Serena (La Florida,Las Compañías): los planes reguladores comunales no pueden establecer beneficios urbanísticos ilegales,LGUC,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/6CDD95CAB80483488425764900719CD0,,,,2026-06-02,
76619,2013,2013-11-22,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Plan regulador intercomunal O'Higgins — ámbito de acción de instrumentos intercomunales en áreas urbanas y rurales,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/8C807CF86CB5572F84257C3100470900,,,,2026-06-02,
18353,2014,2014-03-12,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Cursa con alcances resolución GR de Valparaíso — aspectos de competencia y contenido de planes reguladores intercomunales/metropolitanos,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/D68318C09B36871203257C9F005729DB,,,,2026-06-02,
21573,2012,2012-04-16,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Plan Regional de Desarrollo Urbano de Atacama (PRDU) — coherencia con LGUC/OGUC y observaciones recurrentes a instrumentos regionales,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/778C411A24652B00842579E3006E1D93,,,,2026-06-02,
78906,2012,2012-12-19,,,<td width="15" bgcolor="#FFFFFF"><img width="1" height="1" src="/icons/ecblank.gif" border="0" alt=",Plan Regional de Desarrollo Urbano de Arica y Parinacota (PRDU) — observaciones a instrumentos regionales de planificación,LGUC,,,,,,,,,,http://172.30.21.160/842577F8004BAD41/0/4E2FBA90E24B567B84257ADE004FF22D,,,,2026-06-02,
